device_id;timestamp;pressure_value;temp_value;humidity_value
BME680;2025-12-18-19-43-46;0.97536;21.88;47.4735
BME680;2025-12-18-19-50-00;0.97539;21.0825;41.1442
BME680;2025-12-18-20-00-00;0.97541;20.5295;40.1828
BME680;2025-12-18-20-10-00;0.97541;20.2717;40.6566
BME680;2025-12-18-20-20-00;0.97539;20.1396;40.1331
BME680;2025-12-18-20-30-00;0.97536;20.0768;41.4528
BME680;2025-12-18-20-40-00;0.97532;20.0148;39.6455
BME680;2025-12-18-20-50-00;0.97532;19.9848;39.3655
BME680;2025-12-18-21-00-00;0.97536;19.9377;41.1629
BME680;2025-12-18-21-10-00;0.97535;19.9425;41.7512
BME680;2025-12-18-21-20-00;0.97536;19.9323;45.3635
BME680;2025-12-18-21-30-00;0.97538;19.9428;44.5935
BME680;2025-12-18-21-40-00;0.97536;19.9559;43.2978
BME680;2025-12-18-21-50-00;0.97534;19.9559;42.1754
BME680;2025-12-18-22-00-00;0.97533;19.9645;46.1739
BME680;2025-12-18-22-10-00;0.97534;19.9677;41.7534
BME680;2025-12-18-22-20-00;0.97534;19.9661;42.4652
BME680;2025-12-18-22-30-00;0.97538;19.9619;42.4646
BME680;2025-12-18-22-40-00;0.97544;19.9473;44.6827
BME680;2025-12-18-22-50-00;0.97549;19.9543;42.5055
BME680;2025-12-18-23-00-00;0.97552;19.9419;44.8972
BME680;2025-12-19-06-20-00;0.97569;19.9072;44.4388
BME680;2025-12-19-06-40-00;0.97606;19.8788;45.1418
BME680;2025-12-19-06-50-00;0.97612;19.8626;44.9782
BME680;2025-12-19-07-00-00;0.97614;19.903;42.1595
BME680;2025-12-19-07-10-00;0.97614;19.8145;41.5399
BME680;2025-12-19-07-20-00;0.97617;19.7782;41.1472
BME680;2025-12-19-07-30-00;0.9762;19.6776;52.5987
BME680;2025-12-19-07-40-00;0.97623;18.9133;47.1365
BME680;2025-12-19-07-50-00;0.97632;18.6265;47.5222
BME680;2025-12-19-08-00-00;0.97643;18.9127;54.7348
BME680;2025-12-19-08-10-00;0.97651;19.281;43.1623
BME680;2025-12-19-08-20-00;0.97659;19.4437;48.3591
BME680;2025-12-19-08-30-00;0.97668;19.6038;63.0348
BME680;2025-12-19-08-40-00;0.97677;19.5853;48.5847
BME680;2025-12-19-08-50-00;0.97678;19.6146;39.5847
BME680;2025-12-19-09-00-00;0.97684;19.5958;48.9785
BME680;2025-12-19-09-10-00;0.97692;19.5955;56.9356
BME680;2025-12-19-09-20-00;0.97697;19.5844;64.9853
BME680;2025-12-19-09-30-00;0.97696;19.2959;51.7142
BME680;2025-12-19-09-40-00;0.97697;18.0582;46.0645
BME680;2025-12-19-09-50-00;0.97708;17.9424;45.4539
BME680;2025-12-19-10-00-00;0.97715;18.4508;49.1836
BME680;2025-12-19-10-20-00;0.97734;19.2301;47.7733
BME680;2025-12-19-10-30-00;0.97739;19.3278;51.4883
BME680;2025-12-19-10-40-00;0.97746;19.3946;68.7621
BME680;2025-12-19-10-50-00;0.97754;19.4357;50.6221
BME680;2025-12-19-11-00-00;0.97754;19.4831;71.1663
