device_id;timestamp;tds_value;temp_value;ph_value
Water_1;2025-12-19-07-40-02;300.665;17.5;6.66
Water_1;2025-12-19-07-50-02;301.767;17.5;6.66
Water_1;2025-12-19-08-00-02;300.448;17.4375;6.66
Water_1;2025-12-19-08-10-03;301.767;17.4375;6.66
Water_1;2025-12-19-08-20-09;301.438;17.5;6.66
Water_1;2025-12-19-08-30-02;301.653;17.5;6.66
Water_1;2025-12-19-08-40-02;302.427;17.5;6.66
Water_1;2025-12-19-08-50-02;301.653;17.5;6.66
Water_1;2025-12-19-09-00-01;301.982;17.5;6.66
Water_1;2025-12-19-09-10-02;301.323;17.5;6.66
Water_1;2025-12-19-09-20-02;300.994;17.5;6.66
Water_1;2025-12-19-09-30-02;302.641;17.5;6.66
Water_1;2025-12-19-09-40-02;301.438;17.5;6.66
Water_1;2025-12-19-09-50-01;300.778;17.4375;6.66
Water_1;2025-12-19-10-00-01;300.778;17.4375;6.66
Water_1;2025-12-19-10-20-02;301.108;17.4375;6.66
Water_1;2025-12-19-10-30-02;301.438;17.4375;6.66
Water_1;2025-12-19-10-40-02;302.097;17.4375;6.66
Water_1;2025-12-19-10-50-01;302.097;17.5;6.66
Water_1;2025-12-19-11-00-04;303.416;17.5;6.66
Water_1;2025-12-19-11-20-02;302.097;17.5;6.66
Water_1;2025-12-19-11-30-02;299.459;17.5;6.66
Water_1;2025-12-19-11-40-02;301.653;17.5;6.66
Water_1;2025-12-19-11-50-02;300.994;17.5;6.66
Water_1;2025-12-19-12-00-01;300.007;17.5;6.66
Water_1;2025-12-19-12-10-03;302.641;17.5;6.66
Water_1;2025-12-19-12-20-02;302.311;17.5;6.66
Water_1;2025-12-19-12-30-02;300.994;17.5;6.66
Water_1;2025-12-19-12-40-02;300.994;17.5;6.66
Water_1;2025-12-19-12-50-02;302.311;17.5;6.66
Water_1;2025-12-19-13-00-02;303.299;17.5;6.66
Water_1;2025-12-19-13-10-03;301.982;17.5;6.66
Water_1;2025-12-19-13-20-01;302.97;17.5;6.66
Water_1;2025-12-19-13-30-01;302.97;17.5;6.66
Water_1;2025-12-19-13-40-03;302.97;17.5625;6.66
Water_1;2025-12-19-13-50-04;301.539;17.5625;6.66
Water_1;2025-12-19-14-00-02;302.854;17.5625;6.66
Water_1;2025-12-19-14-10-02;302.525;17.5625;6.66
Water_1;2025-12-19-14-20-02;303.183;17.5625;6.66
Water_1;2025-12-19-14-30-01;302.525;17.5625;6.66
Water_1;2025-12-19-14-40-01;302.525;17.5625;6.66
Water_1;2025-12-19-14-50-01;302.525;17.5625;6.66
Water_1;2025-12-19-15-00-02;302.854;17.5625;6.66
Water_1;2025-12-19-15-10-02;301.867;17.5625;6.66
Water_1;2025-12-19-15-20-02;302.525;17.5625;6.66
Water_1;2025-12-19-15-30-01;303.183;17.5625;6.66
Water_1;2025-12-19-15-40-01;303.183;17.625;6.66
Water_1;2025-12-19-15-50-01;302.525;17.625;6.66
Water_1;2025-12-19-16-00-02;301.425;17.625;6.66
Water_1;2025-12-19-16-10-02;301.753;17.625;6.66
Water_1;2025-12-19-16-20-02;302.738;17.625;6.66
Water_1;2025-12-19-16-30-02;302.738;17.625;6.66
Water_1;2025-12-19-16-40-01;302.738;17.625;6.66
Water_1;2025-12-19-16-50-01;296.829;17.625;6.66
Water_1;2025-12-19-17-00-01;299.127;17.625;6.66
Water_1;2025-12-19-17-10-01;297.157;17.625;6.66
Water_1;2025-12-19-17-20-04;298.142;17.6875;6.66
Water_1;2025-12-19-17-30-02;296.722;17.6875;6.66
Water_1;2025-12-19-17-40-02;296.395;17.6875;6.66
